Date,High,Low,Open,Close,Volume,Adj Close
2019-11-19,23389.529296875,23244.9296875,23366.359375,23292.650390625,64200000.0,23292.650390625
2019-11-20,23303.169921875,23086.119140625,23176.490234375,23148.5703125,65700000.0,23148.5703125
2019-11-21,23108.080078125,22726.7109375,23071.490234375,23038.580078125,69800000.0,23038.580078125
2019-11-22,23219.509765625,23030.330078125,23030.330078125,23112.880859375,55600000.0,23112.880859375
2019-11-25,23347.1796875,23255.390625,23292.849609375,23292.810546875,50300000.0,23292.810546875
2019-11-26,23608.060546875,23350.099609375,23451.400390625,23373.3203125,94300000.0,23373.3203125
2019-11-27,23507.8203125,23418.23046875,23452.849609375,23437.76953125,52200000.0,23437.76953125
2019-11-28,23482.3203125,23367.330078125,23458.880859375,23409.140625,44800000.0,23409.140625
2019-11-29,23498.76953125,23273.369140625,23497.439453125,23293.91015625,52100000.0,23293.91015625
2019-12-02,23562.05078125,23378.400390625,23388.630859375,23529.5,47700000.0,23529.5
2019-12-03,23388.1796875,23186.83984375,23231.140625,23379.810546875,58800000.0,23379.810546875
2019-12-04,23203.76953125,23044.779296875,23186.740234375,23135.23046875,58100000.0,23135.23046875
2019-12-05,23363.439453125,23259.8203125,23292.69921875,23300.08984375,61400000.0,23300.08984375
2019-12-06,23412.48046875,23338.400390625,23347.669921875,23354.400390625,54400000.0,23354.400390625
2019-12-09,23544.310546875,23360.009765625,23544.310546875,23430.69921875,55800000.0,23430.69921875
2019-12-10,23449.470703125,23336.9296875,23372.390625,23410.189453125,52800000.0,23410.189453125
2019-12-11,23438.4296875,23333.630859375,23421.140625,23391.859375,61300000.0,23391.859375
2019-12-12,23468.150390625,23360.4296875,23449.279296875,23424.810546875,56300000.0,23424.810546875
2019-12-13,24050.0390625,23775.73046875,23810.560546875,24023.099609375,115500000.0,24023.099609375
2019-12-16,24036.30078125,23950.05078125,23955.19921875,23952.349609375,53300000.0,23952.349609375
2019-12-17,24091.119140625,23996.509765625,24091.119140625,24066.119140625,64000000.0,24066.119140625
2019-12-18,24046.08984375,23919.359375,24023.26953125,23934.4296875,66300000.0,23934.4296875
2019-12-19,23945.529296875,23835.2890625,23911.4609375,23864.849609375,55600000.0,23864.849609375
2019-12-20,23908.76953125,23746.630859375,23893.44921875,23816.630859375,70300000.0,23816.630859375
2019-12-23,23923.08984375,23810.8203125,23921.2890625,23821.109375,45200000.0,23821.109375
2019-12-24,23853.560546875,23796.349609375,23839.1796875,23830.580078125,37900000.0,23830.580078125
2019-12-25,23824.849609375,23782.869140625,23813.58984375,23782.869140625,31600000.0,23782.869140625
2019-12-26,23931.509765625,23775.400390625,23787.69921875,23924.919921875,40300000.0,23924.919921875
2019-12-27,23967.1796875,23837.720703125,23953.75,23837.720703125,44800000.0,23837.720703125
2019-12-30,23782.490234375,23656.619140625,23770.9296875,23656.619140625,41600000.0,23656.619140625
2020-01-06,23365.359375,23148.529296875,23319.759765625,23204.859375,72800000.0,23204.859375
2020-01-07,23577.439453125,23299.919921875,23320.119140625,23575.720703125,64300000.0,23575.720703125
2020-01-08,23303.2109375,22951.1796875,23217.490234375,23204.759765625,79400000.0,23204.759765625
2020-01-09,23767.08984375,23506.150390625,23530.2890625,23739.869140625,62200000.0,23739.869140625
2020-01-10,23903.2890625,23761.080078125,23813.279296875,23850.5703125,55900000.0,23850.5703125
2020-01-14,24059.859375,23951.66015625,23969.0390625,24025.169921875,64200000.0,24025.169921875
2020-01-15,23997.390625,23875.8203125,23923.48046875,23916.580078125,57200000.0,23916.580078125
2020-01-16,23975.380859375,23905.380859375,23960.19921875,23933.130859375,55400000.0,23933.130859375
2020-01-17,24115.94921875,24013.75,24103.44921875,24041.259765625,59400000.0,24041.259765625
2020-01-20,24108.109375,24061.669921875,24080.6796875,24083.509765625,38300000.0,24083.509765625
2020-01-21,24081.75,23843.48046875,24072.810546875,23864.560546875,44600000.0,23864.560546875
2020-01-22,24040.869140625,23831.099609375,23835.490234375,24031.349609375,49000000.0,24031.349609375
2020-01-23,23910.009765625,23779.23046875,23843.509765625,23795.439453125,55500000.0,23795.439453125
2020-01-24,23869.380859375,23755.3203125,23850.119140625,23827.1796875,48700000.0,23827.1796875
2020-01-27,23463.890625,23317.3203125,23427.900390625,23343.509765625,62400000.0,23343.509765625
2020-01-28,23243.359375,23115.150390625,23126.9296875,23215.7109375,64400000.0,23215.7109375
2020-01-29,23392.609375,23214.279296875,23309.3203125,23379.400390625,54900000.0,23379.400390625
2020-01-30,23318.5703125,22892.94921875,23284.580078125,22977.75,69600000.0,22977.75
2020-01-31,23421.58984375,23139.98046875,23148.919921875,23205.1796875,75400000.0,23205.1796875
2020-02-03,23023.73046875,22775.919921875,22874.26953125,22971.939453125,72500000.0,22971.939453125
2020-02-04,23118.130859375,22854.44921875,22881.130859375,23084.58984375,67900000.0,23084.58984375
2020-02-05,23414.689453125,23241.640625,23351.470703125,23319.560546875,70300000.0,23319.560546875
2020-02-06,23995.369140625,23625.130859375,23641.099609375,23873.58984375,95100000.0,23873.58984375
2020-02-07,23943.44921875,23759.419921875,23899.009765625,23827.98046875,65400000.0,23827.98046875
2020-02-10,23788.25,23621.720703125,23631.7890625,23685.98046875,56500000.0,23685.98046875
2020-02-12,23869.73046875,23693.720703125,23741.2109375,23861.2109375,74600000.0,23861.2109375
2020-02-13,23908.849609375,23784.310546875,23849.759765625,23827.73046875,64500000.0,23827.73046875
2020-02-14,23738.419921875,23603.48046875,23714.51953125,23687.58984375,69100000.0,23687.58984375
2020-02-17,23561.98046875,23335.990234375,23489.779296875,23523.240234375,54000000.0,23523.240234375
2020-02-18,23402.009765625,23133.599609375,23398.5703125,23193.80078125,59500000.0,23193.80078125
2020-02-19,23468.560546875,23234.9609375,23329.330078125,23400.69921875,61600000.0,23400.69921875
2020-02-20,23806.560546875,23426.419921875,23666.580078125,23479.150390625,63300000.0,23479.150390625
2020-02-21,23588.55078125,23378.330078125,23427.76953125,23386.740234375,62100000.0,23386.740234375
2020-02-25,22950.23046875,22335.2109375,22949.369140625,22605.41015625,105800000.0,22605.41015625
2020-02-26,22456.55078125,22127.419921875,22374.140625,22426.189453125,99300000.0,22426.189453125
2020-02-27,22272.259765625,21844.2890625,22255.830078125,21948.23046875,106200000.0,21948.23046875
2020-02-28,21528.130859375,20916.400390625,21518.009765625,21142.9609375,148500000.0,21142.9609375
2020-03-02,21593.109375,20834.2890625,20849.7890625,21344.080078125,123700000.0,21344.080078125
2020-03-03,21719.779296875,21082.73046875,21651.990234375,21082.73046875,105300000.0,21082.73046875
2020-03-04,21245.9296875,20862.05078125,20897.19921875,21100.060546875,94600000.0,21100.060546875
2020-03-05,21399.869140625,21220.759765625,21399.869140625,21329.119140625,85700000.0,21329.119140625
2020-03-06,21061.19921875,20613.91015625,21009.80078125,20749.75,111700000.0,20749.75
2020-03-09,20347.189453125,19472.259765625,20343.310546875,19698.759765625,170300000.0,19698.759765625
2020-03-10,19970.349609375,18891.76953125,19474.890625,19867.119140625,164700000.0,19867.119140625
2020-03-11,19974.830078125,19392.25,19758.259765625,19416.060546875,129200000.0,19416.060546875
2020-03-12,19142.1796875,18339.26953125,19064.509765625,18559.630859375,164600000.0,18559.630859375
2020-03-13,18184.4609375,16690.599609375,18183.470703125,17431.05078125,233400000.0,17431.05078125
2020-03-16,17785.759765625,16914.44921875,17586.080078125,17002.0390625,158100000.0,17002.0390625
2020-03-17,17557.0390625,16378.9404296875,16726.94921875,17011.529296875,198800000.0,17011.529296875
2020-03-18,17396.83984375,16698.4609375,17154.080078125,16726.55078125,177200000.0,16726.55078125
2020-03-19,17160.970703125,16358.1904296875,16995.76953125,16552.830078125,198900000.0,16552.830078125
